source_pdf,output_pdf,title,start_page,end_page,page_count
"Linear Models With R (Julian James Faraway).pdf","chapter_pdfs\Linear_Models_With_R_Julian_James_Faraway\05_Chapter_5_Problems_with_the_Predictors.pdf","Chapter 5 Problems with the Predictors",96,108,13
"Linear Models With R (Julian James Faraway).pdf","chapter_pdfs\Linear_Models_With_R_Julian_James_Faraway\06_Chapter_6_Problems_with_the_Error.pdf","Chapter 6 Problems with the Error",109,129,21
"Linear Models With R (Julian James Faraway).pdf","chapter_pdfs\Linear_Models_With_R_Julian_James_Faraway\07_Chapter_7_Transformation.pdf","Chapter 7 Transformation",130,142,13
"Linear Models With R (Julian James Faraway).pdf","chapter_pdfs\Linear_Models_With_R_Julian_James_Faraway\08_Chapter_8_Variable_Selection.pdf","Chapter 8 Variable Selection",143,154,12
"Linear Models With R (Julian James Faraway).pdf","chapter_pdfs\Linear_Models_With_R_Julian_James_Faraway\09_Chapter_9_Shrinkage_Methods.pdf","Chapter 9 Shrinkage Methods",155,169,15
"Linear Models With R (Julian James Faraway).pdf","chapter_pdfs\Linear_Models_With_R_Julian_James_Faraway\10_Chapter_10_Statistical_Strategy_and_Model_Uncertainty.pdf","Chapter 10 Statistical Strategy and Model Uncertainty",170,173,4
"Linear Models With R (Julian James Faraway).pdf","chapter_pdfs\Linear_Models_With_R_Julian_James_Faraway\11_Chapter_11_Insurance_RedliningA_Complete_Example.pdf","Chapter 11 Insurance Redlining—A Complete Example",174,185,12
"Linear Models With R (Julian James Faraway).pdf","chapter_pdfs\Linear_Models_With_R_Julian_James_Faraway\12_Chapter_12_Missing_Data.pdf","Chapter 12 Missing Data",186,189,4
"Linear Models With R (Julian James Faraway).pdf","chapter_pdfs\Linear_Models_With_R_Julian_James_Faraway\13_Chapter_13_Analysis_of_Covariance.pdf","Chapter 13 Analysis of Covariance",190,203,14
"Linear Models With R (Julian James Faraway).pdf","chapter_pdfs\Linear_Models_With_R_Julian_James_Faraway\14_Chapter_14_One-Way_Analysis_of_Variance.pdf","Chapter 14 One-Way Analysis of Variance",204,211,8
"Linear Models With R (Julian James Faraway).pdf","chapter_pdfs\Linear_Models_With_R_Julian_James_Faraway\15_Chapter_15_Factorial_Designs.pdf","Chapter 15 Factorial Designs",212,225,14
"Linear Models With R (Julian James Faraway).pdf","chapter_pdfs\Linear_Models_With_R_Julian_James_Faraway\16_Chapter_16_Block_Designs.pdf","Chapter 16 Block Designs",226,239,14
"Linear Models With R (Julian James Faraway).pdf","chapter_pdfs\Linear_Models_With_R_Julian_James_Faraway\17_Appendix_A_R_Installation_Functions_and_Data.pdf","Appendix A: R Installation, Functions and Data",240,241,2
"Linear Models With R (Julian James Faraway).pdf","chapter_pdfs\Linear_Models_With_R_Julian_James_Faraway\18_Appendix_B_Quick_Introduction_to_R.pdf","Appendix B: Quick Introduction to R",242,245,4
"LinearModellingPPT.pdf","chapter_pdfs\LinearModellingPPT\01_Einfuhrung_und_Beispiele.pdf","Einführung und Beispiele",7,16,10
"LinearModellingPPT.pdf","chapter_pdfs\LinearModellingPPT\02_Das_einfache_lineare_Regressionsmodell.pdf","Das einfache lineare Regressionsmodell",17,52,36
"LinearModellingPPT.pdf","chapter_pdfs\LinearModellingPPT\03_Das_multiple_lineare_Regressionsmodell.pdf","Das multiple lineare Regressionsmodell",53,68,16
"LinearModellingPPT.pdf","chapter_pdfs\LinearModellingPPT\04_Quadratsummenzerlegung_und_statistische_Inferenz_im_multiplen_linearen_Regressionsmodell.pdf","Quadratsummenzerlegung und statistische Inferenz im multiplen linearen Regressionsmodell",69,125,57
"LinearModellingPPT.pdf","chapter_pdfs\LinearModellingPPT\05_Diskrete_Einflugroen_Dummy-_und_Effektkodierung_Mehrfaktorielle_Varianzanalyse.pdf","Diskrete Einflußgrößen: Dummy- und Effektkodierung, Mehrfaktorielle Varianzanalyse",126,156,31
"LinearModellingPPT.pdf","chapter_pdfs\LinearModellingPPT\06_Metrische_Einflugroen_Interaktionen_Polynomiale_Regression_Trigonometrische_Polynome_Regression.pdf","Metrische Einflußgrößen: Interaktionen, Polynomiale Regression, Trigonometrische Polynome, Regressionssplines, Transformationen.",157,173,17
"LinearModellingPPT.pdf","chapter_pdfs\LinearModellingPPT\07_Modelldiagnose.pdf","Modelldiagnose",174,196,23
"LinearModellingPPT.pdf","chapter_pdfs\LinearModellingPPT\08_Das_allgemeine_lineare_Modell_Gewichtete_KQ-Methode_Autokorrelierte_und_heteroskedastische_Stor.pdf","Das allgemeine lineare Modell: Gewichtete KQ-Methode, Autokorrelierte und heteroskedastische Störterme",197,212,16
"LinearModellingPPT.pdf","chapter_pdfs\LinearModellingPPT\09_Das_gemischte_lineare_Regressionsmodell_Linear_mixed_Model.pdf","Das gemischte lineare Regressionsmodell („Linear mixed Model“)",213,222,10
"LinearModellingPPT.pdf","chapter_pdfs\LinearModellingPPT\10_Das_logistische_Regressionsmodell.pdf","Das logistische Regressionsmodell",223,249,27
"LinearModellingPPT.pdf","chapter_pdfs\LinearModellingPPT\11_Variablenselektion.pdf","Variablenselektion",250,270,21
"Regression.pdf","chapter_pdfs\Regression\01_1_Introduction.pdf","1 Introduction",16,34,19
"Regression.pdf","chapter_pdfs\Regression\02_2_Regression_Models.pdf","2 Regression Models",35,86,52
"Regression.pdf","chapter_pdfs\Regression\03_3_The_Classical_Linear_Model.pdf","3 The Classical Linear Model",87,189,103
"Regression.pdf","chapter_pdfs\Regression\04_4_Extensions_of_the_Classical_Linear_Model.pdf","4 Extensions of the Classical Linear Model",190,280,91
"Regression.pdf","chapter_pdfs\Regression\05_5_Generalized_Linear_Models.pdf","5 Generalized Linear Models",281,336,56
"Regression.pdf","chapter_pdfs\Regression\06_6_Categorical_Regression_Models.pdf","6 Categorical Regression Models",337,359,23
"Regression.pdf","chapter_pdfs\Regression\07_7_Mixed_Models.pdf","7 Mixed Models",360,423,64
"Regression.pdf","chapter_pdfs\Regression\08_8_Nonparametric_Regression.pdf","8 Nonparametric Regression",424,544,121
"Regression.pdf","chapter_pdfs\Regression\09_9_Structured_Additive_Regression.pdf","9 Structured Additive Regression",545,605,61
"Regression.pdf","chapter_pdfs\Regression\10_10_Quantile_Regression.pdf","10 Quantile Regression",606,629,24
"Regression.pdf","chapter_pdfs\Regression\11_A_Matrix_Algebra.pdf","A Matrix Algebra",630,646,17
"Regression.pdf","chapter_pdfs\Regression\12_B_Probability_Calculus_and_Statistical_Inference.pdf","B Probability Calculus and Statistical Inference",647,687,41
